xFormers not available
xFormers not available
[2026-02-11 16:15:21,409][    INFO] {'bs': 1,
 'dataset': 'xray',
 'encoder': 'vitl',
 'epochs': 120,
 'img_size': 518,
 'lr': 5e-06,
 'max_depth': 1000.0,
 'min_depth': 0.001,
 'pretrained_from': '../checkpoints/depth_anything_v2_vitl.pth',
 'save_path': 'exp/xray'}

[2026-02-11 16:15:24,591][    INFO] ===========> Epoch: 0/120, d1: 0.000, d2: 0.000, d3: 0.000
[2026-02-11 16:15:24,591][    INFO] ===========> Epoch: 0/120, abs_rel: 100.000, sq_rel: 100.000, rmse: 100.000, rmse_log: 100.000, log10: 100.000, silog: 100.000
[2026-02-11 16:15:27,113][    INFO] Iter: 0/8800, LR: 0.0000050, Loss: 0.190
[2026-02-11 16:16:20,529][    INFO] Iter: 100/8800, LR: 0.0000050, Loss: 0.092
[2026-02-11 16:17:11,431][    INFO] Iter: 200/8800, LR: 0.0000050, Loss: 0.202
[2026-02-11 16:18:01,782][    INFO] Iter: 300/8800, LR: 0.0000050, Loss: 0.038
[2026-02-11 16:18:52,363][    INFO] Iter: 400/8800, LR: 0.0000050, Loss: 0.097
[2026-02-11 16:19:43,128][    INFO] Iter: 500/8800, LR: 0.0000050, Loss: 0.080
[2026-02-11 16:20:33,921][    INFO] Iter: 600/8800, LR: 0.0000050, Loss: 0.059
[2026-02-11 16:21:24,751][    INFO] Iter: 700/8800, LR: 0.0000050, Loss: 0.068
[2026-02-11 16:22:15,606][    INFO] Iter: 800/8800, LR: 0.0000050, Loss: 0.047
[2026-02-11 16:23:06,642][    INFO] Iter: 900/8800, LR: 0.0000050, Loss: 0.068
[2026-02-11 16:23:57,589][    INFO] Iter: 1000/8800, LR: 0.0000050, Loss: 0.061
[2026-02-11 16:24:48,455][    INFO] Iter: 1100/8800, LR: 0.0000050, Loss: 0.116
[2026-02-11 16:25:39,461][    INFO] Iter: 1200/8800, LR: 0.0000050, Loss: 0.095
[2026-02-11 16:26:30,393][    INFO] Iter: 1300/8800, LR: 0.0000050, Loss: 0.040
[2026-02-11 16:27:21,333][    INFO] Iter: 1400/8800, LR: 0.0000050, Loss: 0.076
[2026-02-11 16:28:12,283][    INFO] Iter: 1500/8800, LR: 0.0000050, Loss: 0.096
[2026-02-11 16:29:03,276][    INFO] Iter: 1600/8800, LR: 0.0000050, Loss: 0.062
